바파, 87, 151
사아, 99, 183
사타, 45, 166
차차, 86, 177
파나, 91, 173
마파, 54, 155
차아, 71, 172
마바, 93, 149
타타, 52, 197
아바, 92, 175
나사, 65, 156
가카, 56, 166
파차, 51, 175
아하, 50, 174
다마, 91, 165
마카, 40, 171
사차, 63, 194
사라, 68, 148
라가, 58, 151
라아, 60, 168
자바, 40, 178
사파, 48, 169
아나, 86, 149
자사, 78, 148
라파, 79, 141
파파, 43, 153
바다, 80, 199
사자, 81, 196
타나, 98, 181
바사, 74, 180
자차, 45, 169
타차, 95, 143
나가, 59, 165
나자, 76, 148
마타, 54, 195
바차, 54, 160
라다, 46, 166
사카, 92, 164
아다, 94, 176
아나, 74, 160
차파, 66, 154
파하, 94, 153
차사, 55, 160
사카, 84, 149
다바, 80, 171
라아, 84, 183
아사, 49, 156
하파, 57, 143
사타, 78, 163
바바, 99, 146
타나, 65, 160
사라, 52, 185
타나, 54, 162
하마, 98, 157
타가, 65, 143
마마, 66, 155
라사, 82, 158
차하, 71, 153
라사, 76, 145
가가, 87, 182
바하, 79, 157
차차, 40, 165
다아, 63, 192
자마, 45, 169
타자, 59, 191
마타, 63, 165
자파, 76, 189
가바, 56, 173
카하, 65, 179
자타, 55, 156
마하, 73, 171
사라, 72, 166
다타, 55, 171
타하, 47, 156
가카, 76, 140
사하, 43, 152
다다, 62, 149
카아, 69, 167
차다, 72, 171
나자, 47, 168
마나, 76, 182
파하, 80, 161
아가, 46, 180
다차, 78, 181
하카, 91, 173
사다, 79, 154
아하, 70, 173
파다, 91, 183
다라, 44, 158
카자, 93, 187
아자, 69, 146
차파, 83, 177
자타, 40, 168
아바, 40, 183
파자, 92, 173
라바, 56, 184
아차, 65, 193
다아, 99, 146
하파, 67, 154
사마, 48, 159
카아, 88, 152
하사, 91, 172
사사, 47, 173
마카, 49, 164
차파, 45, 183
가카, 73, 180
타아, 48, 157
아아, 94, 188
마사, 57, 169
파다, 81, 172
다나, 55, 158
차타, 76, 173
차자, 73, 176
다차, 46, 162
바타, 50, 164
사마, 80, 174
카나, 61, 199
마파, 51, 192
